# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
   19.833559265   -1.448603067   -1.404444788   -1.401667916
   19.900335559   -1.441076335   -1.385182057   -1.381670471
   19.967111853   -1.395812948   -1.336335500   -1.332630410
   20.033888147   -1.360508544   -1.238463899   -1.230856085
   20.100664441   -1.292051591   -1.177814198   -1.170687099
   20.167440735   -1.270443388   -1.204122354   -1.199978276
   20.234217028   -1.258945134   -1.231992950   -1.230318864
   20.300993322   -1.185512351   -1.187780624   -1.187922561
   20.367769616   -1.125530534   -1.132536065   -1.132975051
   20.434545910   -1.030487131   -1.013331188   -1.012249344
   20.501322204   -0.995637730   -0.980062290   -0.979086686
   20.568098497   -0.917351436   -0.930346508   -0.931149978
   20.634874791   -0.814236674   -0.888769133   -0.893421855
   20.701651085   -0.879973358   -0.936590159   -0.940120589
   20.768427379   -1.007784150   -0.990891501   -0.989846697
   20.835203673   -1.032471169   -1.009623270   -1.008207052
   20.901979967   -1.033295160   -1.017185719   -1.016175622
   20.968756260   -0.944574302   -0.941936606   -0.941767787
   21.035532554   -0.851249353   -0.887853918   -0.890144849
   21.102308848   -0.771275150   -0.811750142   -0.814284255
   21.169085142   -0.704998531   -0.756305831   -0.759503075
   21.235861436   -0.693180141   -0.756575260   -0.760535560
   21.302637730   -0.701296203   -0.706863083   -0.707229850
   21.369414023   -0.680081247   -0.668551250   -0.667838782
   21.436190317   -0.666036745   -0.646433094   -0.645209337
   21.502966611   -0.699084909   -0.659550908   -0.657072812
   21.569742905   -0.668806273   -0.675468276   -0.675880619
   21.636519199   -0.602800585   -0.641838897   -0.644281614
   21.703295492   -0.588783656   -0.644634724   -0.648126033
   21.770071786   -0.573880077   -0.613026500   -0.615465296
   21.836848080   -0.570193205   -0.581631340   -0.582342568
   21.903624374   -0.592146693   -0.563174668   -0.561371897
   21.970400668   -0.544810135   -0.533809972   -0.533125163
   22.037176962   -0.513658457   -0.496871142   -0.495820986
   22.103953255   -0.463025558   -0.475049125   -0.475811742
   22.170729549   -0.401229789   -0.444707808   -0.447427208
