# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    7.112497496    3.837599579    3.378899038    3.350255535
    7.145884808    3.685368340    3.307509244    3.283908900
    7.179272120    3.643154160    3.332338123    3.312932282
    7.212659432    3.641406929    3.409336531    3.394868138
    7.246046745    3.607739333    3.450160160    3.440319953
    7.279434057    3.538141015    3.424691600    3.417578866
    7.312821369    3.486379949    3.380389126    3.373743368
    7.346208681    3.516923810    3.382107347    3.373677872
    7.379595993    3.657585681    3.405537452    3.389800021
    7.412983306    3.810004602    3.377401420    3.350384266
    7.446370618    3.922989952    3.365454381    3.330628934
    7.479757930    3.982323513    3.385743479    3.348474311
    7.513145242    3.963992582    3.392713666    3.357026000
    7.546532554    3.964833056    3.451442028    3.419361249
    7.579919866    3.960994201    3.561567476    3.536586114
    7.613307179    4.004640777    3.657218123    3.635462586
    7.646694491    4.127564346    3.664580303    3.635636808
    7.680081803    4.198137826    3.599268578    3.561868260
    7.713469115    4.215063152    3.575168927    3.535195539
    7.746856427    4.246837822    3.623099984    3.584157482
    7.780243740    4.244775064    3.651385120    3.614383692
    7.813631052    4.272382899    3.712618772    3.677695125
    7.847018364    4.309724996    3.860140418    3.832058976
    7.880405676    4.265654555    3.999985819    3.983390650
    7.913792988    4.184747692    4.044863329    4.036130098
    7.947180301    4.056216330    3.975990135    3.970991175
    7.980567613    3.930495245    3.877424346    3.874131248
    8.013954925    3.941518853    3.832593714    3.825800492
    8.047342237    4.011498625    3.803407856    3.790397570
    8.080729549    4.014327801    3.802348014    3.789087977
    8.114116861    4.010620316    3.814521505    3.802263366
    8.147504174    3.957278260    3.799450997    3.789607539
    8.180891486    3.826305948    3.796867995    3.795061252
    8.214278798    3.742794531    3.822926634    3.827973331
    8.247666110    3.802633506    3.884482088    3.889609944
    8.281053422    3.926203402    3.966643929    3.969156494
    8.314440735    3.975510445    4.018982718    4.021654311
    8.347828047    3.945656649    3.995774937    3.998846308
    8.381215359    3.918354273    3.938966679    3.940203077
    8.414602671    3.907464457    3.961807123    3.965176742
    8.447989983    3.915389014    4.054232753    4.062904443
    8.481377295    3.966719256    4.160540541    4.172648481
    8.514764608    4.072817046    4.254606267    4.265950333
    8.548151920    4.182622096    4.391311584    4.404330748
    8.581539232    4.292540562    4.589889625    4.608464470
    8.614926544    4.396607973    4.779926524    4.803868641
    8.648313856    4.564986634    4.962663968    4.987481267
    8.681701169    4.817540077    5.101905857    5.119624475
    8.715088481    5.010631707    5.073193733    5.077082615
    8.748475793    5.073381556    4.938051514    4.929605952
    8.781863105    5.038053290    4.864460391    4.853630058
    8.815250417    4.935649228    4.879870755    4.876409587
    8.848637730    4.777039788    4.896284580    4.903751965
    8.882025042    4.647484649    4.923915729    4.941177196
    8.915412354    4.668290251    4.995655916    5.016081547
    8.948799666    4.740760261    5.064345957    5.084542414
    8.982186978    4.757921599    5.121074262    5.143752208
    9.015574290    4.785454737    5.167817154    5.191713880
    9.048961603    4.855130565    5.201462162    5.223108211
    9.082348915    4.951861929    5.232705562    5.250251507
    9.115736227    5.018439594    5.202962956    5.214488956
    9.149123539    5.024688493    5.118268998    5.124123957
    9.182510851    4.982955996    5.038425171    5.041890434
    9.215898164    4.902563752    5.004367759    5.010715938
    9.249285476    4.844164214    4.951286763    4.957985744
    9.282672788    4.831484101    4.851007811    4.852250923
    9.316060100    4.855361071    4.787237453    4.783006270
    9.349447412    4.842171570    4.777938786    4.773938684
    9.382834725    4.786295622    4.804022189    4.805130633
    9.416222037    4.754854992    4.813266925    4.816933027
    9.449609349    4.729317218    4.754229347    4.755809031
    9.482996661    4.763461086    4.683859775    4.678894699
    9.516383973    4.834295741    4.634190213    4.621677182
    9.549771285    4.873845503    4.573463186    4.554678053
    9.583158598    4.872524698    4.522015459    4.500098549
    9.616545910    4.808816840    4.514428683    4.496030972
    9.649933222    4.682869323    4.509296621    4.498460626
    9.683320534    4.532398869    4.465378060    4.461195997
    9.716707846    4.398469570    4.366464494    4.364457053
    9.750095159    4.316486931    4.256570353    4.252815264
    9.783482471    4.238364476    4.145852801    4.140073797
    9.816869783    4.191846454    4.100249226    4.094516489
    9.850257095    4.251137091    4.158950408    4.153152970
    9.883644407    4.294709936    4.186691125    4.179902539
    9.917031720    4.249898492    4.105513363    4.096461134
    9.950419032    4.185426466    4.040684751    4.031623163
    9.983806344    4.148419006    4.010186882    4.001548225
   10.017193656    4.135391119    3.970146235    3.959803321
   10.050580968    4.099658862    3.925836224    3.914907806
   10.083968280    4.156343771    3.952561391    3.939719209
   10.117355593    4.349874346    4.048191010    4.029237819
   10.150742905    4.485613618    4.103027688    4.079072571
   10.184130217    4.534246509    4.082980541    4.054792709
   10.217517529    4.569211968    4.062274478    4.030648861
   10.250904841    4.555709976    4.075232978    4.045268222
   10.284292154    4.477476076    4.109209111    4.086245560
   10.317679466    4.379994980    4.113829340    4.097257891
   10.351066778    4.366743792    4.135336034    4.120920233
   10.384454090    4.448737541    4.222469667    4.208326972
   10.417841402    4.561386269    4.304460546    4.288370960
   10.451228715    4.556394513    4.314762912    4.299632625
   10.484616027    4.449955676    4.266728527    4.255284486
   10.518003339    4.436055000    4.232663727    4.219972930
   10.551390651    4.456582818    4.218200501    4.203304659
   10.584777963    4.417304311    4.248460254    4.237882649
   10.618165275    4.320680952    4.270061312    4.266890649
   10.651552588    4.211645505    4.248288168    4.250599598
   10.684939900    4.123428322    4.257056952    4.265432844
   10.718327212    4.065972661    4.311980971    4.327365678
   10.751714524    4.054308414    4.363347300    4.382657459
   10.785101836    4.066732281    4.379250074    4.398762792
   10.818489149    4.112844050    4.366342281    4.382172939
   10.851876461    4.193487160    4.338665163    4.347746539
   10.885263773    4.204167614    4.299499161    4.305462751
   10.918651085    4.092417297    4.212424741    4.219907978
   10.952038397    3.902089253    4.096578644    4.108671433
   10.985425710    3.744051682    4.039114107    4.057482508
   11.018813022    3.691621722    4.035136615    4.056586810
   11.052200334    3.729817860    4.005216032    4.022461644
   11.085587646    3.770976192    3.925881491    3.935601674
   11.118974958    3.768280303    3.849943647    3.855080652
   11.152362270    3.747776939    3.813998999    3.818152128
   11.185749583    3.746490347    3.809523490    3.813444079
   11.219136895    3.758649079    3.791410808    3.793421800
   11.252524207    3.746073487    3.753648032    3.754090724
   11.285911519    3.703763780    3.711586932    3.712055452
   11.319298831    3.687704736    3.668690869    3.667477036
   11.352686144    3.718685695    3.634034750    3.628709020
   11.386073456    3.761424885    3.636060770    3.628179658
   11.419460768    3.782985568    3.656867162    3.648949479
   11.452848080    3.773484106    3.681617798    3.675852913
   11.486235392    3.720581593    3.689365561    3.687390917
   11.519622705    3.611420239    3.655789331    3.658541753
   11.553010017    3.537305947    3.650106870    3.657133498
   11.586397329    3.532830005    3.706962916    3.717800830
   11.619784641    3.529854558    3.776849974    3.792225349
   11.653171953    3.498141984    3.806353003    3.825576380
   11.686559265    3.450353682    3.749728383    3.768463092
   11.719946578    3.447561937    3.709758171    3.726178638
   11.753333890    3.497674844    3.756954197    3.773171524
   11.786721202    3.530686626    3.793654434    3.810114312
   11.820108514    3.510397892    3.760513774    3.776170609
   11.853495826    3.441760228    3.691288651    3.706895855
